COMMAND,MAJOR,MINOR,GROUP
PERF_RES_CPUFREQ_MIN_CLUSTER_0,1,0,0
PERF_RES_CPUFREQ_MIN_CLUSTER_1,1,0,1
PERF_RES_CPUFREQ_MIN_CLUSTER_2,1,0,2
PERF_RES_CPUFREQ_MAX_CLUSTER_0,1,1,0
PERF_RES_CPUFREQ_MAX_CLUSTER_1,1,1,1
PERF_RES_CPUFREQ_MAX_CLUSTER_2,1,1,2
PERF_RES_CPUFREQ_MIN_HL_CLUSTER_0,1,2,0
PERF_RES_CPUFREQ_MIN_HL_CLUSTER_1,1,2,1
PERF_RES_CPUFREQ_MIN_HL_CLUSTER_2,1,2,2
PERF_RES_CPUFREQ_MAX_HL_CLUSTER_0,1,3,0
PERF_RES_CPUFREQ_MAX_HL_CLUSTER_1,1,3,1
PERF_RES_CPUFREQ_MAX_HL_CLUSTER_2,1,3,2
PERF_RES_CPUFREQ_CCI_FREQ,1,4,0
PERF_RES_CPUFREQ_PERF_MODE,1,5,0
PERF_RES_CPUFREQ_MIN_CORE_0,1,6,0
PERF_RES_CPUFREQ_MIN_CORE_1,1,6,1
PERF_RES_CPUFREQ_MIN_CORE_2,1,6,2
PERF_RES_CPUFREQ_MIN_CORE_3,1,6,3
PERF_RES_CPUFREQ_MIN_CORE_4,1,6,4
PERF_RES_CPUFREQ_MIN_CORE_5,1,6,5
PERF_RES_CPUFREQ_MIN_CORE_6,1,6,6
PERF_RES_CPUFREQ_MIN_CORE_7,1,6,7
PERF_RES_CPUFREQ_MAX_CORE_0,1,7,0
PERF_RES_CPUFREQ_MAX_CORE_1,1,7,1
PERF_RES_CPUFREQ_MAX_CORE_2,1,7,2
PERF_RES_CPUFREQ_MAX_CORE_3,1,7,3
PERF_RES_CPUFREQ_MAX_CORE_4,1,7,4
PERF_RES_CPUFREQ_MAX_CORE_5,1,7,5
PERF_RES_CPUFREQ_MAX_CORE_6,1,7,6
PERF_RES_CPUFREQ_MAX_CORE_7,1,7,7
PERF_RES_CPUCORE_MIN_CLUSTER_0,2,0,0
PERF_RES_CPUCORE_MIN_CLUSTER_1,2,0,1
PERF_RES_CPUCORE_MIN_CLUSTER_2,2,0,2
PERF_RES_CPUCORE_MAX_CLUSTER_0,2,1,0
PERF_RES_CPUCORE_MAX_CLUSTER_1,2,1,1
PERF_RES_CPUCORE_MAX_CLUSTER_2,2,1,2
PERF_RES_CPUCORE_PERF_MODE,2,2,0
PERF_RES_CPUCORE_FORCE_PAUSE_CPU,2,3,0
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_0,2,3,1
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_1,2,3,2
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_2,2,3,3
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_3,2,3,4
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_4,2,3,5
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_5,2,3,6
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_6,2,3,7
PERF_RES_CPUCORE_FORCE_PAUSE_CPU_7,2,3,8
PERF_RES_CPUCORE_ONLINE_CPU_0,2,4,0
PERF_RES_CPUCORE_ONLINE_CPU_1,2,4,1
PERF_RES_CPUCORE_ONLINE_CPU_2,2,4,2
PERF_RES_CPUCORE_ONLINE_CPU_3,2,4,3
PERF_RES_CPUCORE_ONLINE_CPU_4,2,4,4
PERF_RES_CPUCORE_ONLINE_CPU_5,2,4,5
PERF_RES_CPUCORE_ONLINE_CPU_6,2,4,6
PERF_RES_CPUCORE_ONLINE_CPU_7,2,4,7
PERF_RES_GPU_FREQ_MIN,3,0,0
PERF_RES_GPU_FREQ_MIN_HL,3,0,1
PERF_RES_GPU_FREQ_MAX,3,1,0
PERF_RES_GPU_FREQ_MAX_HL,3,1,1
PERF_RES_GPU_FREQ_LOW_LATENCY,3,2,0
PERF_RES_GPU_GED_BENCHMARK_ON,3,3,0
PERF_RES_GPU_GED_MARGIN_MODE,3,3,1
PERF_RES_GPU_GED_TIMER_BASE_DVFS_MARGIN,3,3,2
PERF_RES_GPU_GED_LOADING_BASE_DVFS_STEP,3,3,3
PERF_RES_GPU_GED_CWAITG,3,3,4
PERF_RES_GPU_GED_GX_BOOST,3,3,5
PERF_RES_GPU_GED_DVFS_LOADING_MODE,3,3,6
PERF_RES_GPU_GED_DVFS_WORKLOAD_MODE,3,3,7
PERF_RES_GPU_POWER_POLICY,3,4,0
PERF_RES_GPU_POWER_ONOFF_INTERVAL,3,4,1
PERF_RES_GPU_ACP_HINT,3,5,0
PERF_RES_GPU_BW_MODE_HINT,3,6,0
PERF_RES_GPU_DCS_POLICY,3,7,0
